"slug","class","function","slide_ref","scene_deck","codex_build","status","live_url","notes"
"tm9035-introduction-to-metex14-ooi-slide-6","production","Introduction to METex14 skipping NSCLC & tepotinib (OOI)","6","TBC","tm9035-introduction-to-metex14-ooi-slide-6-2026-08-19-v1","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-introduction-to-metex14-ooi-slide-6/","renamed from tm9035-ooi-slide-6"
"tm9035-characteristics-carousel-slide-12","production","Patient characteristics carousel","12","TBC","tm9035-characteristics-carousel-slide-12-2026-08-19-v1","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-characteristics-carousel-slide-12/",""
"tm9035-orr-knowledge-check-slide-15","production","Knowledge check: long-term ORR (VISION)","15","TBC","tm9035-orr-knowledge-check-slide-15-2026-07-29-v2","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-orr-knowledge-check-slide-15/","renamed from tm9035-ooi-slide-15"
"tm9035-km-explorer-slide-16","production","Kaplan-Meier outcomes explorer","16","TBC","tm9035-km-explorer-slide-16-2026-08-19-v1","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-km-explorer-slide-16/",""
"tm9035-treatment-duration-slide-24","production","Treatment duration (horseshoe gauge)","24","TBC","tm9035-treatment-duration-slide-24-2026-08-19-v1","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-treatment-duration-slide-24/",""
"tm9035-hrqol-knowledge-check-slide-31","production","Knowledge check: HRQoL (VISION)","31","TBC","tm9035-hrqol-knowledge-check-slide-31-2026-07-29-v2","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-hrqol-knowledge-check-slide-31/","renamed from tm9035-ooi-slide-31"
"tm9035-detection-method-knowledge-check-slide-34","production","Knowledge check: long-term efficacy by METex14 detection method","34","TBC","tm9035-detection-method-knowledge-check-slide-34-2026-08-05-v3","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-detection-method-knowledge-check-slide-34/","renamed from tm9035-ooi-slide-34"
"tm9035-orr-subgroups-slide-37","production","ORR subgroups forest plot","37","TBC","tm9035-orr-subgroups-slide-37-2026-08-19-v1","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-orr-subgroups-slide-37/",""
"tm9035-dose-reductions-interruptions-slide-40","production","Dose reductions & interruptions","40","TBC","tm9035-dose-reductions-interruptions-slide-40-2026-07-29-v1","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-dose-reductions-interruptions-slide-40/","first Codex snapshot taken 2026-07-29"
"tm9035-line-of-therapy-table-slide-47","production","Line-of-therapy efficacy table","47","TBC","tm9035-line-of-therapy-table-slide-47-2026-08-19-v1","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-line-of-therapy-table-slide-47/",""
"tm9035-subsequent-treatment-knowledge-check-slide-47","production","Knowledge check: efficacy with subsequent treatment","47","TBC","tm9035-subsequent-treatment-knowledge-check-slide-47-2026-08-05-v3","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-subsequent-treatment-knowledge-check-slide-47/","slide_ref renumbered 51 -> 47; slug retained (see README rule 2)"
"tm9035-meti-rechallenge-slide-49","production","METi rechallenge","49","TBC","tm9035-meti-rechallenge-slide-49-2026-08-19-v1","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-meti-rechallenge-slide-49/","first Codex snapshot taken 2026-07-29"
"tm9035-asian-population-intro-slide-51","production","Introduction to VISION Asian subgroup","51","TBC","tm9035-asian-population-intro-slide-51-2026-08-19-v1","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-asian-population-intro-slide-51/","first Codex snapshot taken 2026-07-29"
"tm9035-patient-characteristics-slide-61","production","Patient characteristics flip-cards","61","TBC","tm9035-patient-characteristics-slide-61-2026-09-01-v1","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-patient-characteristics-slide-61/",""
"tm9035-asian-efficacy-knowledge-check-slide-66","production","Efficacy outcomes in Asian patients - knowledge check (grouped forest)","66","TBC","tm9035-asian-efficacy-knowledge-check-slide-66-2026-07-29-v2","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-asian-efficacy-knowledge-check-slide-66/","was missing from the register until 2026-07-29; renamed from tm9035-ooi-slide-66"
"tm9035-summary-and-reflection-slide-69","production","Summary & CPD reflection (wizard)","69","TBC","tm9035-summary-and-reflection-slide-69-2026-07-29-v2","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-summary-and-reflection-slide-69/","superseded by scene-71 pair - confirm which is embedded"
"tm9035-summary-and-reflection-scene-71","production","Summary & CPD reflection (wizard, no free text) - standalone, no benchmark","71","TBC","tm9035-summary-and-reflection-scene-71-2026-07-29-v1","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-summary-and-reflection-scene-71/","first Codex snapshot taken 2026-07-29"
"tm9035-benchmark-summary-and-reflection-scene-71","production","Benchmark summary & CPD reflection - reads the baseline, before/after delta","71","TBC","tm9035-benchmark-summary-and-reflection-scene-71-2026-08-05-v2","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-benchmark-summary-and-reflection-scene-71/","pairs with tm9035-confidence-baseline"
"tm9035-confidence-baseline","production","Confidence baseline (scene A) - writes tm9035:confidence:baseline:v1","","TBC","tm9035-confidence-baseline-2026-08-05-v2","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-confidence-baseline/","must be placed before the benchmark summary scene"
"vision-references","reference","Citation pill (D16/D22 interstitial + chip grid)","","n/a","vision-references-2026-08-05-v1","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/vision-references/","cross-slide; no Codex folder by rule"
"vision-references-hub","reference","References hub (folder-nav + search)","","n/a","vision-references-hub-2026-08-19-v1","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/vision-references-hub/","cross-slide; no Codex folder by rule"
"vision-abstract-references-hub","reference","References hub - abstract activity","","n/a","vision-abstract-references-hub-2026-08-19-v1","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/vision-abstract-references-hub/","was missing from the register until 2026-07-29"
"tm9035-va-deck","visual-abstract","Visual abstract deck (12-scene)","","n/a","tm9035-va-deck-2026-08-05-v2","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-va-deck/","separate deliverable - built by abstract-deck skill"
"tm9035-va-scene4-efficacy","visual-abstract","Visual abstract - efficacy scene","","n/a","tm9035-va-scene4-efficacy-2026-09-01-v1","live","https://danforgedframeworks.github.io/hosted_content/touchmedical/tm9035-va-scene4-efficacy/",""
